recv_time sog lng lat
2017-02-11 11:21:46 111 121.634326 31.363561
2017-02-11 11:22:06 110 121.633261 31.364058
2017-02-11 11:22:14 110 121.632801 31.364293
2017-02-11 11:22:26 110 121.632291 31.36456
2017-02-11 11:22:46 111 121.631213 31.365121
2017-02-11 11:23:06 111 121.630173 31.365643
2017-02-11 11:23:27 112 121.62919 31.366155
2017-02-11 11:23:46 112 121.628091 31.366713
2017-02-11 11:23:54 112 121.62783 31.366848
2017-02-11 11:24:07 113 121.627048 31.367258
2017-02-11 11:24:16 113 121.626628 31.367471
2017-02-11 11:24:46 113 121.624956 31.368346
2017-02-11 11:25:06 113 121.62392 31.368905
2017-02-11 11:25:15 113 121.623501 31.36913
2017-02-11 11:25:35 113 121.622461 31.369676
2017-02-11 11:25:46 113 121.621831 31.370001
2017-02-11 11:26:07 113 121.620788 31.370556
2017-02-11 11:26:15 113 121.620313 31.370806
2017-02-11 11:26:45 113 121.618736 31.371638
2017-02-11 11:26:55 113 121.618261 31.371883
2017-02-11 11:27:06 113 121.617633 31.37221
2017-02-11 11:27:16 113 121.617375 31.372346
2017-02-11 11:27:27 113 121.616596 31.372755
2017-02-11 11:27:36 113 121.61623 31.372943
2017-02-11 11:28:15 113 121.614023 31.374096
2017-02-11 11:28:27 113 121.613441 31.374393
2017-02-11 11:28:36 113 121.612915 31.374661
2017-02-11 11:28:56 112 121.611916 31.375171
2017-02-11 11:29:07 113 121.611331 31.375466
2017-02-11 11:29:55 110 121.608775 31.376741
2017-02-11 11:30:06 109 121.60836 31.376943
2017-02-11 11:30:16 109 121.60774 31.377245
2017-02-11 11:30:56 107 121.605701 31.378216
2017-02-11 11:31:16 106 121.604848 31.378625
2017-02-11 11:31:36 105 121.603651 31.379198
2017-02-11 11:31:45 104 121.603205 31.379408
2017-02-11 11:32:06 103 121.602163 31.37989
2017-02-11 11:32:36 104 121.60068 31.38058
2017-02-11 11:32:45 104 121.600228 31.380783
2017-02-11 11:32:56 104 121.59973 31.381013
2017-02-11 11:33:06 104 121.59923 31.381238
2017-02-11 11:33:16 104 121.598733 31.381466
2017-02-11 11:33:36 104 121.597696 31.381965
2017-02-11 11:33:45 104 121.597248 31.382176
2017-02-11 11:34:06 104 121.59625 31.382638
2017-02-11 11:34:16 105 121.595748 31.382866
2017-02-11 11:34:36 104 121.594701 31.38335
2017-02-11 11:34:57 104 121.5937 31.383813
2017-02-11 11:35:06 105 121.59325 31.38402
2017-02-11 11:35:36 104 121.59186 31.384663
2017-02-11 11:35:45 104 121.591266 31.384943
2017-02-11 11:35:56 104 121.590721 31.385203
2017-02-11 11:36:06 104 121.590271 31.385415
2017-02-11 11:36:26 104 121.589275 31.385883
2017-02-11 11:36:36 104 121.588776 31.386115
2017-02-11 11:36:57 103 121.58774 31.386605
2017-02-11 11:37:06 103 121.587298 31.386816
2017-02-11 11:37:17 103 121.586755 31.38707
2017-02-11 11:37:25 103 121.586311 31.387275
2017-02-11 11:37:45 102 121.585331 31.387733
2017-02-11 11:37:56 102 121.584943 31.387916
2017-02-11 11:38:26 101 121.583386 31.38863
2017-02-11 11:38:46 99 121.58243 31.389071
2017-02-11 11:39:06 98 121.581481 31.3895
2017-02-11 11:39:25 97 121.580545 31.38993
2017-02-11 11:39:45 96 121.579618 31.390355
2017-02-11 11:40:06 95 121.578708 31.390778
2017-02-11 11:40:15 94 121.578436 31.390906
2017-02-11 11:40:25 94 121.577805 31.3912
2017-02-11 11:41:16 91 121.575588 31.392205
2017-02-11 11:41:25 91 121.575151 31.392403
2017-02-11 11:42:46 89 121.57166 31.394011
2017-02-11 11:42:56 88 121.571238 31.394216
2017-02-11 11:43:07 88 121.570821 31.394421
2017-02-11 11:43:16 88 121.570448 31.394606
2017-02-11 11:43:46 88 121.569156 31.395228
2017-02-11 11:43:56 89 121.568738 31.395428
2017-02-11 11:44:35 88 121.567156 31.396288
2017-02-11 11:44:46 88 121.566716 31.396538
2017-02-11 11:44:56 88 121.566356 31.39674
2017-02-11 11:45:06 89 121.565923 31.396991
2017-02-11 11:45:35 88 121.564815 31.397628
2017-02-11 11:45:56 87 121.56398 31.398105
2017-02-11 11:46:15 87 121.563201 31.398568
2017-02-11 11:46:35 86 121.56241 31.399003
2017-02-11 11:46:46 86 121.562013 31.399216
2017-02-11 11:47:06 85 121.561236 31.399645
2017-02-11 11:47:15 85 121.560845 31.399858
2017-02-11 11:47:36 85 121.560065 31.400281
2017-02-11 11:48:07 84 121.55889 31.400881
2017-02-11 11:48:35 82 121.557716 31.401461
2017-02-11 11:49:35 81 121.555376 31.40254
2017-02-11 11:50:07 80 121.554178 31.403091
2017-02-11 11:50:15 80 121.55391 31.403215
2017-02-11 11:50:56 80 121.552316 31.403965
2017-02-11 11:51:16 79 121.551536 31.404356
2017-02-11 11:51:26 79 121.551196 31.404518
2017-02-11 11:51:36 79 121.550781 31.404713
2017-02-11 11:51:46 79 121.550408 31.404888
2017-02-11 11:51:55 78 121.550075 31.405046
